Location Name,State Code,Country,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description
Hubballi,KA,India,2021-02-01,86.1,64.5,74.9,83.5,64.5,74.4,51.7,46.2,0,0,0,,0,0,22.8,11,92.3,1017.1,20.1,5,252,21.6,9,,2021-02-01 6:58:47,2021-02-01 18:27:30,0.62,Partially cloudy,Partly cloudy throughout the day.
Hubballi,KA,India,2021-02-02,82.5,64.5,73.3,81.3,64.5,73.1,52,49.1,0,0,0,,0,0,23.3,13.9,83,1017.8,19.2,5.1,256.8,22.3,9,,2021-02-02 6:58:34,2021-02-02 18:27:58,0.66,Clear,Clear conditions throughout the day.
Hubballi,KA,India,2021-02-03,84.3,62.4,73.2,82.8,62.4,73,52.8,50.6,0,0,0,,0,0,22.4,10.3,70.4,1017,14.1,4.5,256.3,22,9,,2021-02-03 6:58:20,2021-02-03 18:28:25,0.7,Clear,Clear conditions throughout the day.
Hubballi,KA,India,2021-02-04,84.3,61.7,73.5,82.3,61.7,73.1,50.5,46.4,0,0,0,,0,0,21.7,13.9,101.4,1016.4,10.3,5.1,258.2,22.2,9,,2021-02-04 6:58:05,2021-02-04 18:28:52,0.75,Clear,Clear conditions throughout the day.
Hubballi,KA,India,2021-02-05,86,57.3,73.8,83.7,57.3,73.4,50.5,45.5,0,0,0,,0,0,17.4,6.9,143.1,1015.8,26.2,4.8,256.4,22.3,9,,2021-02-05 6:57:49,2021-02-05 18:29:19,0.77,Partially cloudy,Partly cloudy throughout the day.
Hubballi,KA,India,2021-02-06,84.3,60.8,73.6,83,60.8,73.1,51,48.2,0,0,0,,0,0,17.4,6.9,83.1,1015.4,8.6,5.1,262.5,22.7,9,,2021-02-06 6:57:32,2021-02-06 18:29:44,0.8,Clear,Clear conditions throughout the day.
Hubballi,KA,India,2021-02-07,84.3,60.6,73.9,82.1,60.6,73.3,49.3,44.3,0,0,0,,0,0,22.8,13.9,77.1,1015.5,6.6,5,266.6,23.1,9,,2021-02-07 6:57:13,2021-02-07 18:30:10,0.84,Clear,Clear conditions throughout the day.
Hubballi,KA,India,2021-02-08,84.3,62.8,73.9,81.9,62.8,73.4,48.8,43,0,0,0,,0,0,27.1,11.4,79,1016.7,11.5,4.9,270.9,23.6,9,,2021-02-08 6:56:54,2021-02-08 18:30:34,0.87,Clear,Clear conditions throughout the day.
Hubballi,KA,India,2021-02-09,84.6,59.2,72.4,83.3,59.2,72,48.3,43.9,0,0,0,,0,0,21.7,9.2,79.6,1014.9,5.8,4.6,270.4,23.5,9,,2021-02-09 6:56:34,2021-02-09 18:30:59,0.91,Clear,Clear conditions throughout the day.
Hubballi,KA,India,2021-02-10,85.7,58,74.1,83.7,58,73.4,49.5,44.7,0,0,0,,0,0,17,8,94.4,1013.2,2.1,5.1,272.8,23.7,9,,2021-02-10 6:56:12,2021-02-10 18:31:22,0.95,Clear,Clear conditions throughout the day.
Hubballi,KA,India,2021-02-11,87,58.6,74.1,84.5,58.6,73.4,49.5,44,0,0,0,,0,0,18.1,7.4,95.9,1011.7,25.4,2.8,273.4,23.7,9,,2021-02-11 6:55:50,2021-02-11 18:31:45,0.98,Partially cloudy,Partly cloudy throughout the day.
Hubballi,KA,India,2021-02-12,86.4,64.5,74.7,83.9,64.5,74.1,49.7,42.8,0,0,0,,0,0,19.9,8.3,101,1012.5,46.3,,273.2,23.7,9,,2021-02-12 6:55:27,2021-02-12 18:32:08,0,Partially cloudy,Partly cloudy throughout the day.
Hubballi,KA,India,2021-02-13,85.7,64.8,73.6,83,64.8,73.1,47,40.2,0,0,0,,0,0,19.9,8.9,112.6,1014.3,1.3,5,276,23.9,10,,2021-02-13 6:55:02,2021-02-13 18:32:30,0.05,Clear,Clear conditions throughout the day.
Hubballi,KA,India,2021-02-14,86.1,61,74.2,83.2,61,73.5,48.5,43.3,0,0,0,,0,0,15.9,8,122.6,1014.6,12.6,4.9,272.9,23.7,9,,2021-02-14 6:54:37,2021-02-14 18:32:51,0.08,Clear,Clear conditions throughout the day.
Hubballi,KA,India,2021-02-15,87.9,58.4,74,84.7,58.4,73.3,53,52.3,0,0,0,,0,0,15.4,8,184.6,1013.7,29.4,4.5,259.8,22.6,9,,2021-02-15 6:54:11,2021-02-15 18:33:12,0.11,Partially cloudy,Becoming cloudy in the afternoon.
Hubballi,KA,India,2021-02-16,86.1,59.4,75.2,83.3,59.4,74.6,56.5,57.9,0,0,0,,0,0,18.1,9.2,199.7,1012.8,17.5,4.3,261.6,22.7,9,,2021-02-16 6:53:44,2021-02-16 18:33:32,0.14,Clear,Clear conditions throughout the day.
Hubballi,KA,India,2021-02-17,85.2,63.7,74.9,84.1,63.7,74.7,60.4,64.4,0,0,0,,0,0,13,9.1,221.7,1012.4,32.7,4.4,247.8,21.3,9,,2021-02-17 6:53:16,2021-02-17 18:33:52,0.18,Partially cloudy,Partly cloudy throughout the day.
